generation,avg_fitness,highest_fitness,lowest_fitness
325,14.989999999999995,25.0,6.4
326,15.040000000000001,25.0,6.4
327,15.12,25.0,6.4
328,17.18,25.0,6.4
329,17.860000000000003,25.0,6.4
330,15.76,25.0,6.4
331,12.379999999999997,25.0,6.4
332,16.560000000000002,25.0,6.6
333,13.02,25.0,6.4
334,15.079999999999998,25.0,6.4
335,15.720000000000002,25.0,6.4
336,13.699999999999998,25.0,6.6
337,13.729999999999999,25.0,6.4
338,15.120000000000001,25.0,6.4
339,14.4,25.0,6.4
340,15.080000000000002,25.0,6.4
341,14.41,25.0,6.4
342,19.73,125.8,6.4
343,25.49000000000001,125.8,6.6
344,20.20000000000001,125.8,6.4
345,26.09000000000001,138.2,6.4
346,32.55000000000001,138.2,6.4
347,32.63000000000001,138.2,6.4
348,20.810000000000002,138.2,6.4
349,22.229999999999997,138.2,6.4
350,17.710000000000004,138.2,6.4
351,31.99000000000001,138.8,6.4
352,32.9,139.0,6.4
353,18.960000000000004,139.0,6.4
354,27.450000000000006,139.0,6.4
355,26.550000000000004,139.0,6.4
356,31.820000000000004,139.0,6.4
357,37.280000000000015,139.0,6.6
358,19.270000000000003,139.0,6.4
359,34.160000000000004,139.0,6.4
360,18.06000000000001,139.0,6.6
361,38.44000000000001,139.0,6.4
362,20.140000000000004,139.0,6.4
363,26.740000000000002,139.0,6.4
364,18.700000000000006,139.0,6.4
365,24.52000000000001,139.0,6.4
366,29.590000000000003,139.0,6.4
367,20.850000000000012,139.0,6.4
368,20.820000000000007,139.0,6.4
369,26.130000000000013,139.0,6.4
370,46.42000000000001,139.0,6.4
371,33.150000000000006,139.0,6.4
372,25.490000000000006,139.0,6.4
373,27.310000000000002,139.0,6.4
374,27.47000000000001,139.0,6.6
375,37.870000000000005,139.0,6.4
376,26.82000000000001,139.0,6.4
377,23.98,139.0,6.4
378,17.440000000000005,139.0,6.4
379,29.01,139.0,6.4
380,18.89,139.0,6.4
381,25.850000000000012,139.0,6.4
382,18.78000000000001,139.0,6.4
383,22.280000000000012,139.0,6.4
384,22.28000000000001,139.0,6.4
385,27.480000000000008,139.0,6.6
386,27.330000000000005,139.0,6.4
387,25.890000000000004,139.0,6.4
388,134.31999999999996,2290.6,6.4
389,138.15999999999997,2400.2,6.4
390,252.22999999999996,2400.2,6.4
391,137.2,2400.2,6.4
392,253.5,2400.2,6.4
393,261.69999999999993,2400.2,6.4
394,363.71,2400.2,6.4
395,386.72,2400.2,6.4
396,263.31,2400.2,6.4
397,273.8100000000002,2400.2,6.4
398,245.26999999999992,2400.2,6.4
399,371.7700000000001,2400.2,6.4
400,600.8299999999999,2495.4,6.4
401,365.2700000000001,2500.2,6.4
402,260.55,2500.2,6.4
403,363.71,2500.2,6.4
404,612.9900000000001,2500.2,6.4
405,249.69999999999996,2500.2,6.4
406,493.71999999999997,2500.2,6.4
407,505.55999999999995,2500.2,6.4
408,504.7799999999999,2500.2,6.4
409,503.85,2500.2,6.4
410,264.62,2500.2,6.4
411,397.5799999999999,2500.2,6.4
412,374.81999999999994,2500.2,6.4
413,148.18,2500.2,6.4
414,381.52,2500.2,6.4
415,514.3999999999999,2500.2,6.4
416,595.5899999999999,2500.2,6.4
417,392.14000000000004,2500.2,6.4
418,707.8999999999999,2500.2,6.4
419,389.73,2500.2,6.4
420,376.8600000000001,2500.2,6.4
421,141.04000000000002,2500.2,6.4
422,137.43,2500.2,6.4
423,144.48,2500.2,6.4
424,396.22999999999996,2500.2,6.4
425,398.6000000000001,2500.2,6.4
426,488.08000000000004,2500.2,6.4
427,389.32,2500.2,6.4
428,369.58,2500.2,6.4
429,149.52999999999997,2500.2,6.4
430,253.82,2500.2,6.4
431,158.15,2500.2,6.4
432,147.61999999999998,2500.2,6.4
433,394.09,2500.2,6.4
434,266.05,2500.2,6.4
435,387.16,2500.2,6.4
436,609.8199999999999,2500.2,6.4
437,374.3299999999999,2500.2,6.4
438,177.67,2500.2,6.4
439,135.42000000000002,2500.2,6.4
440,268.21000000000004,2500.2,6.4
441,260.87999999999994,2500.2,6.4
442,609.3399999999999,2500.2,6.4
443,141.62999999999997,2500.2,6.4
444,373.2,2500.2,6.4
445,510.84,2500.2,6.4
446,263.4,2500.2,6.4
447,398.53999999999996,2500.2,6.4
448,618.3199999999999,2500.2,6.4
449,260.56000000000006,2500.2,6.4
450,285.91999999999996,2500.2,6.4
451,269.94,2500.2,6.4
452,251.79000000000002,2500.2,6.4
453,397.7700000000001,2500.2,6.4
454,264.88,2500.2,6.4
455,370.21,2500.2,6.4
456,260.09000000000003,2500.2,6.4
457,711.87,2500.2,6.4
458,608.1299999999999,2500.2,6.4
459,143.95999999999998,2500.2,6.4
460,145.05999999999997,2500.2,6.4
461,267.57000000000005,2500.2,6.4
462,389.03999999999985,2500.2,6.4
463,154.3,2500.2,6.4
464,150.22999999999996,2500.2,6.4
465,254.07999999999998,2500.2,6.4
466,253.68999999999997,2500.2,6.4
467,374.55999999999995,2500.2,6.4
468,399.24,2500.2,6.4
469,375.26,2500.2,6.4
470,156.37000000000003,2500.2,6.4
471,374.4699999999999,2500.2,6.4
472,499.93,2500.2,6.4
473,261.18,2500.2,6.4
474,390.9900000000001,2500.2,6.4
475,153.73999999999998,2500.2,6.4
476,151.02999999999997,2500.2,6.4
477,266.2700000000001,2500.2,6.4
478,493.3299999999999,2500.2,6.4
479,257.14,2500.2,6.4
480,370.9200000000001,2500.2,6.4
481,134.79,2500.2,6.4
482,150.89999999999998,2500.2,6.4
483,262.51000000000005,2500.2,6.4
484,384.31,2500.2,6.4
485,254.42,2500.2,6.4
486,260.84999999999997,2500.2,6.4
487,258.2299999999999,2500.2,6.4
488,250.16000000000003,2500.2,6.4
489,252.5099999999999,2500.2,6.4
490,267.62,2500.2,6.4
491,177.67000000000002,2500.2,6.4
492,271.06999999999994,2500.2,6.4
493,273.9800000000001,2500.2,6.4
494,267.60999999999996,2500.2,6.4
495,141.22000000000003,2500.2,6.4
496,606.47,2500.2,6.4
497,371.06999999999994,2500.2,6.4
498,369.98999999999995,2500.2,6.4
499,139.83999999999997,2500.2,6.4
500,374.92999999999995,2500.2,6.4
501,499.1,2500.2,6.4
502,366.01,2500.2,6.4
503,264.42,2500.2,6.4
504,143.42999999999998,2500.2,6.4
505,263.40000000000003,2500.2,6.4
506,374.28000000000003,2500.2,6.4
507,147.82999999999993,2500.2,6.4
508,560.4300000000001,2500.2,6.4
509,141.75000000000003,2500.2,6.4
510,266.65999999999997,2500.2,6.4
511,369.89,2500.2,6.4
512,523.4699999999999,2500.2,6.4
513,476.5799999999999,2500.2,6.4
514,383.16999999999996,2500.2,6.4
515,250.31000000000003,2500.2,6.4
516,606.72,2500.2,6.4
517,140.43,2500.2,6.4
518,253.89000000000004,2500.2,6.4
519,286.56000000000006,2500.2,6.4
520,261.9599999999999,2500.2,6.4
521,149.8,2500.2,6.4
522,271.21,2500.2,6.4
523,142.76,2500.2,6.4
524,159.77,2500.2,6.4
525,509.03000000000003,2500.2,6.4
526,495.1399999999999,2500.2,6.4
527,263.15000000000003,2500.2,6.4
528,165.92000000000002,2500.2,6.4
529,146.45,2500.2,6.4
530,147.48999999999995,2500.2,6.4
531,266.20000000000005,2500.2,6.4
